image_id,wind_speed,storm_id
bcf_038,185,bcf
bcf_039,185,bcf
bcf_036,184,bcf
bcf_037,184,bcf
bcf_040,184,bcf
bcf_041,184,bcf
bcf_043,183,bcf
bcf_034,183,bcf
bcf_042,183,bcf
bcf_035,183,bcf
bcf_033,182,bcf
bcf_044,182,bcf
bcf_032,182,bcf
bcf_045,182,bcf
bcf_031,181,bcf
bcf_030,181,bcf
bcf_047,181,bcf
bcf_046,181,bcf
bcf_029,180,bcf
bcf_048,180,bcf
bcf_028,178,bcf
bcf_027,175,bcf
bcf_049,175,bcf
bcf_026,173,bcf
bcf_025,170,bcf
bcf_050,170,bcf
bcf_024,168,bcf
bcf_051,165,bcf
bcf_023,163,bcf
bcf_022,160,bcf
dce_206,160,dce
dce_209,160,dce
dce_204,160,dce
dce_205,160,dce
dce_207,160,dce
dce_208,160,dce
bcf_052,160,bcf
bcf_021,158,bcf
tmv_107,155,tmv
rdc_054,155,rdc
rdc_053,155,rdc
rdc_052,155,rdc
rdc_051,155,rdc
rdc_055,155,rdc
rdc_050,155,rdc
rdc_049,155,rdc
rdc_056,155,rdc
rdc_057,155,rdc
xgr_025,155,xgr
rdc_058,155,rdc
rdc_059,155,rdc
rdc_060,155,rdc
rdc_061,155,rdc
xgr_026,155,xgr
bcf_020,155,bcf
xgr_024,155,xgr
xgr_016,155,xgr
xgr_023,155,xgr
xgr_021,155,xgr
dce_215,155,dce
xgr_019,155,xgr
xgr_018,155,xgr
xgr_017,155,xgr
xgr_020,155,xgr
xgr_022,155,xgr
dce_214,155,dce
dce_213,155,dce
dce_211,155,dce
bcf_053,155,bcf
dce_210,155,dce
rdc_062,155,rdc
rdc_063,155,rdc
rdc_064,155,rdc
rdc_065,155,rdc
rdc_066,155,rdc
rdc_067,155,rdc
rdc_068,155,rdc
rdc_069,155,rdc
rdc_070,155,rdc
dce_203,155,dce
dce_202,155,dce
dce_201,155,dce
dce_200,155,dce
dce_199,155,dce
dce_198,155,dce
dce_212,155,dce
tmv_106,154,tmv
rdc_048,154,rdc
rdc_047,154,rdc
xgr_027,154,xgr
xgr_015,153,xgr
tmv_105,153,tmv
bcf_019,153,bcf
xgr_013,152,xgr
tmv_104,152,tmv
xgr_028,152,xgr
xgr_014,152,xgr
xgr_029,151,xgr
xgr_011,151,xgr
xgr_012,151,xgr
tmv_103,151,tmv
tmv_102,150,tmv
ike_088,150,ike
psz_140,150,psz
ike_090,150,ike
ike_091,150,ike
ike_092,150,ike
ike_093,150,ike
ike_094,150,ike
ike_095,150,ike
ike_096,150,ike
ike_089,150,ike
xgr_030,150,xgr
psz_143,150,psz
eck_149,150,eck
psz_142,150,psz
psz_141,150,psz
xgr_010,150,xgr
psz_144,150,psz
xgr_009,149,xgr
tmv_099,149,tmv
tmv_100,149,tmv
tmv_101,149,tmv
psz_138,149,psz
eck_150,149,eck
eck_148,149,eck
psz_145,149,psz
ike_097,149,ike
xgr_031,149,xgr
psz_139,149,psz
eck_146,149,eck
eck_147,149,eck
psz_137,149,psz
eck_145,148,eck
xgr_008,148,xgr
eck_151,148,eck
tmv_097,148,tmv
eck_144,148,eck
psz_135,148,psz
psz_136,148,psz
ike_098,148,ike
tmv_098,148,tmv
tmv_096,147,tmv
psz_146,147,psz
eck_143,147,eck
eck_152,147,eck
bcf_018,147,bcf
psz_134,147,psz
tmv_095,146,tmv
tmv_094,146,tmv
tmv_093,146,tmv
eck_141,146,eck
psz_147,146,psz
eck_140,146,eck
psz_132,146,psz
xgr_032,146,xgr
eck_142,146,eck
psz_131,146,psz
xgr_007,146,xgr
eck_153,146,eck
psz_133,146,psz
ike_087,146,ike
dce_218,145,dce
dce_220,145,dce
dce_197,145,dce
dce_196,145,dce
dce_221,145,dce
dce_216,145,dce
dce_217,145,dce
dce_195,145,dce
dce_219,145,dce
dce_193,145,dce
tmv_092,145,tmv
eck_139,145,eck
psz_130,145,psz
rdc_086,145,rdc
rdc_085,145,rdc
rdc_084,145,rdc
rdc_083,145,rdc
rdc_082,145,rdc
bcf_054,145,bcf
psz_102,145,psz
psz_101,145,psz
psz_100,145,psz
dce_194,145,dce
eck_154,145,eck
xgr_006,145,xgr
dce_192,145,dce
xgr_033,145,xgr
xgr_005,144,xgr
psz_127,144,psz
psz_128,144,psz
